State,year,adult_pop,ins_employer,ins_direct,ins_medicare,ins_medicaid,uninsured,expand_ever,expand_year,expand
Michigan,2014,6087266.0,3571034.0,476417.0,72719.0,676834.0,748333.0,True,2014.0,True
Minnesota,2014,3370012.0,2162501.0,305409.0,25622.0,365537.0,265377.0,True,2014.0,True
Mississippi,2014,1782144.0,868327.0,134831.0,36577.0,161386.0,383375.0,False,,False
Missouri,2014,3669439.0,2123815.0,325561.0,71616.0,214241.0,590745.0,True,2014.0,True
Montana,2014,618551.0,314792.0,80853.0,8119.0,30352.0,124168.0,True,2014.0,True
Nebraska,2014,1127803.0,680916.0,125476.0,8617.0,47047.0,153881.0,True,2014.0,True
Nevada,2014,1747883.0,954835.0,115649.0,21582.0,142375.0,355882.0,True,2014.0,True
New Hampshire,2014,843544.0,563374.0,64177.0,10107.0,37893.0,107927.0,True,2014.0,True
New Jersey,2014,5551498.0,3535547.0,347898.0,57089.0,454391.0,856903.0,True,2014.0,True
New Mexico,2014,1238526.0,555135.0,85440.0,18672.0,191473.0,255917.0,True,2014.0,True
New York,2014,12485670.0,7111983.0,786434.0,126754.0,2005122.0,1531914.0,True,2014.0,True
North Carolina,2014,6045208.0,3165904.0,595684.0,91005.0,412895.0,1148157.0,True,2014.0,True
North Dakota,2014,458368.0,289353.0,52932.0,3302.0,24482.0,45025.0,True,2014.0,True
Ohio,2014,7061137.0,4333942.0,426595.0,119830.0,830427.0,819273.0,True,2014.0,True
Oklahoma,2014,2305044.0,1207547.0,187084.0,41868.0,142923.0,498386.0,True,2014.0,True
Oregon,2014,2449627.0,1293542.0,209879.0,27845.0,358710.0,340874.0,True,2014.0,True
Pennsylvania,2014,7833859.0,4895033.0,669064.0,92300.0,638651.0,915861.0,True,2014.0,True
Rhode Island,2014,667555.0,388161.0,55475.0,8458.0,87852.0,69115.0,True,2014.0,True
South Carolina,2014,2908636.0,1510273.0,210143.0,54019.0,224859.0,578165.0,False,,False
South Dakota,2014,503162.0,289238.0,62881.0,4724.0,23633.0,69426.0,True,2014.0,True
Tennessee,2014,4001037.0,2112695.0,334075.0,76973.0,378023.0,694875.0,False,,False
Texas,2014,16366994.0,8536212.0,1218066.0,186073.0,911596.0,4204601.0,False,,False
Utah,2014,1722815.0,1081490.0,160536.0,12503.0,68914.0,278747.0,True,2014.0,True
Vermont,2014,395850.0,228104.0,31170.0,4459.0,66980.0,27943.0,True,2014.0,True
Virginia,2014,5129648.0,3015141.0,424749.0,69180.0,214657.0,764219.0,True,2014.0,True
